ind,tm,sn,res,conc,temp,int,intnt,int0,intp,alg,tau,ymax,yp,tmax,tfst,texp,tend,adck,adcs,vcc,vcap,intpr
54,4/11/2025,4,0.167999998,0.15,25.5,179.0090027,179.0090027,118.5540009,60.45529938,2,9.204429626,23.29910088,6.589389801,0.791999996,2.073999882,7.06799984,9.423999786,0.996765018,10.07079983,5084.310059,12590.90039,
55,4/11/2025,4,0.172999993,0.15,25.5,184.0330048,184.0330048,122.1320038,61.9007988,2,9.024089813,23.57220078,6.880929947,0.856000006,2.20600009,7.06799984,9.423999786,0.996887028,10.02040005,5087.910156,12593.7002,
56,4/11/2025,4,0.173999995,0.15,25.5,185.1970062,185.1970062,117.0770035,68.11930084,2,10.13059998,23.16500092,6.746369839,0.694000006,2.104000092,7.06799984,9.423999786,0.996703982,10.07079983,5084.680176,12593.2998,
57,4/11/2025,4,0.181999996,0.15,25.5,192.9490051,192.9490051,122.7099991,70.23940277,2,9.787890434,23.58769989,7.197239876,0.829999983,2.190000057,7.06799984,9.423999786,0.997070014,10.22189999,5088.839844,12595.2998,
58,4/11/2025,4,0.167999998,0.15,25.5,178.4019928,178.4019928,119.4680023,58.93450165,2,8.616600037,23.07600021,6.861849785,0.822000027,2.085999966,7.06799984,9.423999786,0.996765018,10.17150021,5087.52002,12593.2998,
59,4/11/2025,4,0.172000006,0.15,25.5,182.6580048,182.6580048,123.2529984,59.40520096,2,8.635009766,23.66900063,6.901060104,0.634000003,2.170000076,7.06799984,9.423999786,0.996887028,10.22189999,5086.589844,12592.09961,
60,4/11/2025,4,0.180000007,0.15,25.5,190.470993,190.470993,122.1220016,68.34950256,2,9.875519753,23.46380043,6.942709923,0.620000005,2.114000082,7.06799984,9.423999786,0.996887028,10.27219963,5088.089844,12598.2002,
61,4/11/2025,4,0.173999995,0.15,25.5,184.6750031,184.6750031,118.5630035,66.11260223,2,9.783260345,23.52669907,6.780069828,0.667999983,2.006000042,7.06799984,9.423999786,0.996703982,10.02040005,5086.129883,12587.2998,
62,4/11/2025,4,0.186000004,0.15,25.5,197.4199982,197.4199982,125.7279968,71.69200134,2,9.620240211,23.88940048,7.476850033,0.684000015,2.167999983,7.06799984,9.423999786,0.996703982,10.07079983,5085.819824,12592.5,
63,4/11/2025,4,0.167999998,0.15,25.5,178.6450043,178.6450043,118.3069992,60.33840179,2,8.990579605,22.78079987,6.731430054,0.469999999,1.973999977,7.06799984,9.423999786,0.997008979,10.22189999,5088.709961,12601.7998,
