ind,tm,sn,res,conc,temp,int,intnt,int0,intp,alg,tau,ymax,yp,tmax,tfst,texp,tend,adck,adcs,vcc,vcap,intpr
41,4/11/2025,4,0,0,25.5,15.3572998,15.3572998,5.706620216,9.650659561,1,1.040549994,13.37699986,9.302390099,0.252000004,,,0.55400002,0.997008979,10.87650013,5086.129883,12615.09961,
42,4/11/2025,4,0,0,25.5,12.70629978,12.70629978,5.015820026,7.690529823,1,0.818067014,13.80799961,9.429639816,0.254000008,,,0.49000001,0.996948004,10.77579975,5086.379883,12611.09961,
43,4/11/2025,4,0,0,25.5,14.6843996,14.6843996,5.30824995,9.376139641,1,1.007779956,13.46959972,9.330550194,0.231999993,,,0.526000023,0.99713099,10.92679977,5089.169922,12615.09961,
44,4/11/2025,4,0,0,25.5,15.42430019,15.42430019,5.664659977,9.75965023,1,1.01327002,13.89290047,9.661950111,0.247999996,,,0.540000021,0.996887028,10.57429981,5085.720215,12607,
45,4/11/2025,4,0,0,26,15.21720028,15.25590038,5.590889931,9.665019989,1,1.024489999,13.63469982,9.464619637,0.238000005,,,0.536000013,0.996765018,10.57429981,5084.870117,12607.7998,
46,4/11/2025,4,0,0,26,11.6821003,11.71179962,5.588759899,6.123079777,1,0.673714995,13.61120033,9.116920471,0.349999994,,,0.54400003,0.996887028,10.67500019,5086.709961,12610.2998,
47,4/11/2025,4,0,0,26,13.10639954,13.13980007,5.150819778,7.988930225,1,0.802006006,14.66530037,9.988619804,0.25,,,0.481999993,0.997253001,10.92679977,5090.470215,12617.5,
48,4/11/2025,4,0,0,26,13.04769993,13.08100033,5.598919868,7.482059956,1,0.782442987,14.11240005,9.59346962,0.30399999,,,0.529999971,0.996765018,10.52400017,5084.939941,12607.40039,
49,4/11/2025,4,0,0,26,11.25189972,11.28059959,4.636829853,6.643760204,1,0.721780002,13.68089962,9.230609894,0.241999999,,,0.449999988,0.997192025,10.87650013,5089.209961,12613.09961,
50,4/11/2025,4,0,0,26,10.00940037,10.03489971,5.440919876,4.593939781,1,0.554463983,12.72249985,8.312259674,0.384000003,,,0.54400003,0.996765018,10.57429981,5084.430176,12607,
51,4/11/2025,4,0.119000003,0.15,24.5,130.1940002,129.5310059,109.2740021,20.25720024,2,5.424550056,31.18889999,3.744410038,0.547999978,1.190000057,7.06799984,9.423999786,0.997313976,10.82610035,5089.660156,12615.09961,
52,4/11/2025,4,0.143000007,0.15,24.5,153.3990021,152.6179962,127.2850037,25.33289909,2,5.885580063,35.06600189,4.315289974,0.458000004,1.253999949,7.06799984,9.423999786,0.997437,10.82610035,5089.640137,12621.5,
53,4/11/2025,4,0.143999994,0.15,25,154.9459991,154.552002,128.8040009,25.74799919,2,5.406849861,36.26490021,4.774340153,0.483999997,1.251999974,7.06799984,9.423999786,0.997437,10.92679977,5091.209961,12616.7002,
54,4/11/2025,4,0.147,0.15,25,157.7960052,157.3939972,131.7680054,25.62619972,2,5.43696022,36.60290146,4.728040218,0.393999994,1.200000048,7.06799984,9.423999786,0.996887028,10.32260036,5085.100098,12606.59961,
55,4/11/2025,4,0.151999995,0.15,25,162.0299988,161.6179962,132.3350067,29.28230095,2,5.979320049,37.24119949,4.910160065,0.381999999,1.148000002,7.06799984,9.423999786,0.997375011,10.92679977,5088.779785,12614.2998,
56,4/11/2025,4,0.155000001,0.15,25,165.7299957,165.3079987,137.0310059,28.27689934,2,5.693789959,37.18880081,4.979340076,0.5,1.230000019,7.06799984,9.423999786,0.997375011,10.77579975,5090.660156,12612.2998,
57,4/11/2025,4,0.160999998,0.15,25,171.6459961,171.2089996,138.9559937,32.25289917,2,6.205160141,37.87469864,5.213669777,0.395999998,1.220000029,7.06799984,9.423999786,0.996948004,10.37290001,5085.189941,12607.7998,
58,4/11/2025,4,0.159999996,0.15,25,170.2480011,169.8150024,139.052002,30.76210022,2,5.978720188,37.74570084,5.160689831,0.444000006,1.246000051,7.06799984,9.423999786,0.997008979,10.47360039,5084.810059,12607,
59,4/11/2025,4,0.162,0.15,25,172.5220032,172.0829926,141.8450012,30.2385006,2,5.796609879,38.13019943,5.230949879,0.555999994,1.231999993,7.06799984,9.423999786,0.997253001,10.77579975,5089.850098,12611.5,
60,4/11/2025,4,0.167999998,0.15,25,178.4579926,178.0039978,144.776001,33.22729874,2,5.757490158,38.85020065,5.784910202,0.495999992,1.228000045,7.06799984,9.423999786,0.997619987,11.02750015,5091.290039,12619.90039,
