sig,conc,temp,sensor,ymax,tmax,decay,int0,intp,intnt,k,b,mae,rmse,intnt_calibr,conc_err,conc_rel_err,conc_measured
89,0.15,26.5,J532296_502R,118.08,0.44,-0.8664426153463242,165.93489000000005,4.463248471790116,170.39813847179016,1070.4206204417546,12.070716125549097,4.176545165087896,5.781203518035011,172.63380919181228,0.00208859085608748,0.0139239390405832,0.14791140914391251
90,0.15,26.5,J532296_502R,117.97,0.43,-0.8635689445707068,167.40957999999998,4.452985057757081,171.86256505775705,1070.4206204417546,12.070716125549097,4.176545165087896,5.781203518035011,172.63380919181228,0.0007205056772326968,0.004803371181551312,0.1492794943227673
91,0.15,26.5,J532296_502R,116.41,0.53,-0.8732336977642858,167.04570999999999,4.531257689369917,171.5769676893699,1070.4206204417546,12.070716125549097,4.176545165087896,5.781203518035011,172.63380919181228,0.000987314222334612,0.006582094815564081,0.14901268577766538
92,0.15,26.5,J532296_502R,115.15,0.44,-0.8606670390916986,167.88015000000001,4.389388056065393,172.26953805606541,1070.4206204417546,12.070716125549097,4.176545165087896,5.781203518035011,172.63380919181228,0.00034030653818734047,0.00226871025458227,0.14965969346181265
93,0.15,26.5,J532296_502R,114.6,0.49,-0.8554001546718711,166.09535000000002,4.6431479173604915,170.73849791736052,1070.4206204417546,12.070716125549097,4.176545165087896,5.781203518035011,172.63380919181228,0.0017706229105242666,0.011804152736828444,0.14822937708947573
94,0.15,26.5,J532296_502R,116.82,0.47,-0.8509382366524422,167.74514,4.690665063093237,172.43580506309323,1070.4206204417546,12.070716125549097,4.176545165087896,5.781203518035011,172.63380919181228,0.00018497787219134976,0.0012331858146089985,0.14981502212780864
95,0.15,26.5,J532296_502R,117.52,0.5,-0.8455704825195146,166.23625,4.696036870011505,170.93228687001152,1070.4206204417546,12.070716125549097,4.176545165087896,5.781203518035011,172.63380919181228,0.0015895829072300194,0.010597219381533463,0.14841041709276998
96,0.15,26.5,J532296_502R,115.05,0.42,-0.8501562881996843,165.00657999999999,4.496863025586336,169.5034430255863,1070.4206204417546,12.070716125549097,4.176545165087896,5.781203518035011,172.63380919181228,0.002924426254918455,0.019496175032789703,0.14707557374508154
97,0.15,26.5,J532296_502R,112.94,0.49,-0.8380573617138352,166.17979999999997,4.598743992339694,170.77854399233968,1070.4206204417546,12.070716125549097,4.176545165087896,5.781203518035011,172.63380919181228,0.0017332113788194325,0.011554742525462885,0.14826678862118056
98,0.15,26.5,J532296_502R,118.83,0.44,-0.8258098276684063,167.40736,4.527408628623107,171.93476862862312,1070.4206204417546,12.070716125549097,4.176545165087896,5.781203518035011,172.63380919181228,0.0006530522206314449,0.0043536814708763,0.14934694777936855
